FID,id,geom,stembureau,naam,adres,postcode,plaats
stembureau.11,11,"POLYGON ((117214.54 496868.420000001, 117225.86 496872.133000001, 117227.493 496867.143000001, 117227.942 496865.770000003, 117229.743 496866.359000002, 117229.719 496866.435000003, 117230.061 496866.547000002, 117230.082 496866.480999999, 117233.276 496867.526000002, 117233.254 496867.592000001, 117233.543 496867.687, 117235.573 496868.351, 117233.056 496876.275000001, 117233.32 496876.360000001, 117233.484 496875.850000001, 117241.748 496878.544, 117241.568 496879.069000001, 117241.822 496879.156000003, 117242.004 496878.626999998, 117250.14 496881.303000003, 117249.977 496881.833000001, 117250.236 496881.913000001, 117250.399 496881.383000002, 117258.638 496884.083999998, 117258.486 496884.602000002, 117258.76 496884.682000001, 117261.33 496876.820000002, 117262.26 496873.970000002, 117267.59 496875.720000001, 117266.65 496878.560000001, 117269.686 496879.560000002, 117273.76 496867.110000002, 117231.71 496853.329999999, 117229.58 496859.819999999, 117218.9 496856.320000002, 117221.45 496848.52, 117228.54 496850.849999999, 117232.9 496837.539999999, 117215.94 496831.980000002, 117214.8 496835.470000001, 117208.77 496833.500000001, 117206.68 496839.900000001, 117209.08 496840.680000001, 117205.41 496851.899999999, 117215.57 496855.239999999, 117211.63 496867.210000001, 117205.15 496865.079999999, 117199.61 496882.043000001, 117212.02 496886.090000001, 117212.97 496883.080000003, 117210.05 496882.119999998, 117211.8 496876.780000001, 117214.72 496877.740000001, 117215.72 496874.720000003, 117212.79 496873.759999998, 117214.54 496868.420000001))",118,obs Kogerveld,Perzikkruidweg 4,1508 AW,Zaandam
stembureau.12,12,"POLYGON ((117573.7 497911.91, 117568.14 497941.24, 117568.79 497941.360000001, 117566.73 497952.250000001, 117580.27 497954.8, 117580.18 497955.3, 117584.03 497956.010000001, 117583.72 497957.68, 117588.09 497958.510000001, 117587.92 497959.400000002, 117608.71 497963.340000001, 117611.15 497950.570000001, 117609.32 497950.220000002, 117609.54 497949.040000004, 117610 497949.130000002, 117615.56 497919.83, 117609.66 497918.710000002, 117610.46 497914.490000001, 117580.35 497908.81, 117579.55 497913.020000004, 117573.7 497911.91))",121,Sporthal de Tref,Drielse Wetering 84,1509 KR,Zaandam
stembureau.13,13,"POLYGON ((114917.282 498715.483000002, 114916.416 498724.633000005, 114916.714 498724.660000001, 114916.757 498724.377000003, 114921.291 498725.652999998, 114913.523 498742.012999999, 114912.675 498743.817999999, 114908.706 498752.162, 114908.978 498752.280000001, 114909.514 498751.191000003, 114916.722 498753.176000001, 114916.47 498754.033000001, 114916.097 498753.955000003, 114916.034 498754.244999999, 114918.884 498754.868000001, 114921.679 498755.798000002, 114921.772 498755.488999999, 114921.4 498755.390000003, 114921.644 498754.503000002, 114934.941 498758.166000001, 114936.615 498752.142999999, 114937.481 498752.342000002, 114937.394 498752.721000001, 114937.699 498752.780000001, 114938.325 498749.920000002, 114939.25 498747.14, 114938.965 498747.045, 114938.842 498747.415, 114937.968 498747.199, 114941.321 498735.053000003, 114942.187 498735.27, 114942.095 498735.663000002, 114942.398 498735.730000001, 114943.067 498732.879000001, 114943.955 498730.077999999, 114943.669 498729.987000001, 114943.551 498730.359, 114942.681 498730.151000001, 114944.353 498724.097000001, 114931.072 498720.430000002, 114931.309 498719.551000001, 114931.66 498719.629000001, 114931.725 498719.336000002, 114928.872 498718.705000001, 114926.113 498717.799000001, 114926.026 498718.077000001, 114926.392 498718.208000001, 114926.123 498719.056000001, 114917.476 498716.669, 114917.585 498715.529000002, 114917.282 498715.483000002))",303,School het Schatrijk,Rooswijkplein 10,1544 VZ,Zaandijk
stembureau.14,14,"POLYGON ((117328.305 494449.809000001, 117327.322 494447.955000003, 117324.202 494449.607000002, 117325.185 494451.463000003, 117295.744 494467.065000001, 117301.015 494477.011000001, 117307.165 494473.751, 117308.856 494476.941000001, 117334.187 494463.535000002, 117334.327 494463.799999999, 117344.391 494458.459, 117338.222 494446.817, 117331.574 494450.34, 117330.638 494448.573000001, 117328.305 494449.809000001))",112,Herman Gorterschool,D Doniastraat 18,1501 TX,Zaandam
stembureau.15,15,"POLYGON ((117682.89 493660.714000003, 117673.655 493700.080000001, 117679.732 493701.52, 117681.321 493701.880000001, 117685.847 493682.621, 117690.066 493664.566000002, 117690.535 493662.547, 117682.89 493660.714000003))",102,Handboog Schutters Czaar Peter,Madagaskar 16,1505 VH,Zaandam
stembureau.16,16,"POLYGON ((118254.106 494927.066000003, 118255.384 494919.870000001, 118244.724 494917.956, 118244.559 494909.979000003, 118246.934 494896.623000002, 118239.72 494895.351000001, 118237.355 494908.688000003, 118234.421 494916.103000001, 118223.802 494914.196000001, 118222.492 494921.384999999, 118254.106 494927.066000003))",105,Zaans Natuur en Milieu Centrum,Thijssestraat 1,1504 LB,Zaandam
stembureau.17,17,"POLYGON ((116342.869 495145.274999999, 116342.603683 495143.295310002, 116341.661205 495141.534259001, 116340.161184 495140.215358003, 116338.294 495139.506000003, 116336.586787 495139.499083001, 116334.955006 495140.000997002, 116333.546796 495140.966177003, 116332.49 495142.307000002, 116332.122146 495143.111545002, 116331.885513 495143.963962004, 116331.786 495144.843, 116331.822694 495145.707794002, 116331.992382 495146.55657, 116332.291 495147.369000003, 116332.653356 495148.038990002, 116333.103478 495148.653465, 116333.633 495149.201000002, 116332.765 495151.035000002, 116330.794 495150.102000001, 116330.399 495150.929, 116328.756 495150.155000002, 116327.251 495153.335000003, 116328.894 495154.112000001, 116324.586 495163.245000001, 116323.568677 495163.29376, 116322.835928 495164.001151001, 116322.751384 495165.016127002, 116323.357 495165.835, 116320.786 495171.281, 116345.759 495183.074000001, 116345.823 495182.939000001, 116347.711 495183.835000003, 116347.664 495183.935000003, 116361.275 495190.396000001, 116375.729 495159.854000002, 116362.12 495153.407000002, 116362.047 495153.560000002, 116360.149 495152.660999998, 116364.56 495143.324000002, 116372.674 495126.149, 116367.505 495123.714000001, 116367.549 495123.187, 116367.434 495122.691000001, 116367.156 495122.279000002, 116366.763 495121.997000001, 116366.285 495121.852000001, 116365.8 495121.884000001, 116365.348 495122.074000002, 116364.961 495122.398000001, 116364.901 495122.490999998, 116356.627 495118.588000002, 116356.713 495118.382999999, 116356.33 495118.207, 116343.393 495145.524000001, 116342.869 495145.274999999))",125,Zorgcentrum Saenden,Nova Zembla 2,1506 VD,Zaandam
stembureau.18,18,"POLYGON ((114282.19 501197.080000003, 114281.34 501197.350000001, 114283.08 501201.91, 114288.22 501200.130000003, 114287.48 501198.079999999, 114293.31 501195.980000001, 114294.05 501198.020000002, 114294.3 501197.840000003, 114293.55 501195.829999999, 114301.91 501192.780000002, 114302.63 501194.810000003, 114308.14 501192.890000002, 114307.36 501190.859999999, 114315.89 501187.76, 114316.63 501189.810000002, 114316.85 501189.750000001, 114316.11 501187.710000001, 114321.88 501185.610000002, 114323.43 501189.880000001, 114324.351 501189.546, 114328 501199.580000001, 114333.48 501197.510000001, 114329.19 501185.783000001, 114329.88 501185.530000004, 114328.64 501182.130000002, 114327.946 501182.384000001, 114327.33 501180.7, 114327.14 501180.730000001, 114326.97 501180.059999999, 114325.86 501180.489999999, 114323.139 501173.06, 114322.857 501173.162000001, 114323.116 501173.869000003, 114316.229 501176.39, 114315.97 501175.684, 114315.688 501175.785999999, 114315.947 501176.494000001, 114308.917 501179.066, 114308.658 501178.360000002, 114308.376 501178.462000003, 114308.635 501179.169999999, 114301.608 501181.739000002, 114301.349 501181.033, 114301.067 501181.134999999, 114301.326 501181.843000002, 114294.297 501184.413000004, 114294.038 501183.707000002, 114293.756 501183.809000002, 114294.015 501184.516999998, 114286.983 501187.086000001, 114286.724 501186.380000001, 114286.442 501186.482000003, 114286.701 501187.190000001, 114279.815 501189.707000004, 114279.556 501189.001000003, 114279.274 501189.107000004, 114282.19 501197.080000003))",403,Pinkstergemeente Ruach,Noorderstraat 7,1521 KA,Wormerveer
stembureau.19,19,"POLYGON ((118108.668 495852.927000003, 118108.155 495856.174, 118107.279 495856.024, 118107.517 495854.685000001, 118104.721 495854.188000001, 118104.483 495855.526999999, 118098.526 495854.469, 118098.491 495854.666, 118096.03 495854.229000001, 118091.694 495878.64, 118085.759 495877.575000002, 118084.435 495884.953000001, 118090.139 495887.132, 118089.966 495888.085999999, 118108.028 495891.365999999, 118112.479 495866.636000002, 118112.381 495866.618000001, 118113.825 495858.682, 118114.278 495858.760000001, 118114.537 495857.264000001, 118115.048 495854.05, 118108.668 495852.927000003))",107,"School De Windroos, INGANG PINASSTRAAT",Galeistraat 2,1503 TJ,Zaandam
stembureau.20,20,"POLYGON ((116742.7 496039.137000003, 116743.575 496039.453000003, 116741.678 496044.709000001, 116744.827 496045.981000002, 116747.279 496039.497999999, 116747.47 496039.570000001, 116749.545 496034.104000004, 116746.228 496032.845000001, 116749.846 496023.312999998, 116749.267 496023.100000001, 116748.323 496025.659999999, 116745.044 496024.45, 116745.27 496023.838, 116744.676 496023.618, 116744.161 496025.015, 116717.858 496015.397999999, 116713.742 496026.656000001, 116718.463 496028.384999999, 116717.663 496030.499000002, 116721.674 496031.967, 116722.472 496029.853999999, 116731.696 496033.233, 116730.897 496035.346, 116734.991 496036.844999998, 116735.79 496034.733000001, 116741.362 496036.773999999, 116741.269 496037.017000002, 116742.238 496037.385, 116742.16 496037.591000001, 116743.136 496037.950000002, 116742.7 496039.137000003))",117,"School De Saenparel, INGANG SCHOOLPLEIN",Herderinstraat 1,1502 ND,Zaandam
