,objectid,name,description,icon_color,pic_url,thumb_url,stembureau
30,34,"Woonzorgcentrum Stefanna, Aart van der Leeuwlaan 904",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/34/attachments/205,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/34/attachments/206,Woonzorgcentrum Stefanna
31,35,"Woonzorgcentrum Vijverhof, Zagwijnpad 1",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/35/attachments/207,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/35/attachments/208,Woonzorgcentrum Vijverhof
32,36,"Delftse Daltonschool, Van Rijslaan 8",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/36/attachments/209,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/36/attachments/210,Delftse Daltonschool
33,37,"JongerencentrumThe Culture, Mozartlaan 670",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/37/attachments/211,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/37/attachments/212,JongerencentrumThe Culture
34,38,"Wooncentrum Die Buytenweye, Chopinlaan 9",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/38/attachments/213,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/38/attachments/214,Wooncentrum Die Buytenweye
35,39,"Wijkcentrum Het Buitenhuis, Buitenhofdreef 274",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/39/attachments/215,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/39/attachments/216,Wijkcentrum Het Buitenhuis
36,40,"Basisschool De Horizon, Brahmslaan 42",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/40/attachments/217,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/40/attachments/218,Basisschool De Horizon
37,41,"Vierhovenkerk, Obrechtstraat 50",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/41/attachments/219,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/41/attachments/220,Vierhovenkerk
38,42,"Wijkcentrum De Hofstee, Sandinoweg 149",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/42/attachments/221,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/42/attachments/222,Wijkcentrum De Hofstee
39,43,"Basisschool De Regenboog, Kraanvogelstraat 2",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/43/attachments/223,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/43/attachments/224,Basisschool De Regenboog
40,44,"Het Westlandhof, Antonia Veerstraat 49
",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/44/attachments/105,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/44/attachments/106,Het Westlandhof
41,45,"School De Ark, Lepelaarstraat 1
",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/45/attachments/225,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/45/attachments/226,School De Ark
42,46,"School De Eglantier Tanthof, Derde Werelddreef 29",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/46/attachments/227,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/46/attachments/228,School De Eglantier Tanthof
43,47,"Rkbs De Bonte Pael, Bikolaan 113",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/47/attachments/229,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/47/attachments/230,Rkbs De Bonte Pael
44,48,"Basisschool De Bron,  Angolastraat 3",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/48/attachments/231,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/48/attachments/232,Basisschool De Bron
45,49,"Open Delft, Vesteplein 100",Stembureau is open van 7:30 tot 21:00 uur.  Denk aan us stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/49/attachments/159,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/49/attachments/160,Open Delft
46,50,"Gemeente Delft stadhuis, Markt 87",Stembureau is open van  7:30 uur tot 21:00 uur. Denk aan uw stempas en identiteits bewijs!,r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/50/attachments/125,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/50/attachments/126,  stadhuis
47,51,"TU Fac Elektrotechn Wisk &amp; Informatica, Mekelweg 4",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs! ,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/51/attachments/233,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/51/attachments/234,TU Fac Elektrotechn Wisk &amp; Informatica
48,52,"Freinetschool Delft, Loevesteinplaats 8",Stembureau  is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/52/attachments/161,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/52/attachments/162,Freinetschool Delft
49,53,"Het Kristal, Kristalweg 107",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs,r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/53/attachments/119,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/53/attachments/120,Het Kristal
