bagID_stemburo,50PLUS,Aan. & Een.,Actief,Ad Bos Collectief,Al.V&D,Amersfoort 2014,Amersfoort Anders,Anti Euro Partij,Anti Europa Partij,Artikel 1,Artikel 50,Belangen Gemeenschap,Blanco lijst Chel,Burger Partij Amersfoort,Christen Democratisch Appél,ChristenUnie,ChristenUnie-Staatkundig Gereformeerde Partij,Continue Directe Democratie Partij,DENK,De Burger Beweging,De Conservatieven.nl,De Groenen,Democraten 66,Democratisch Europa,Democratisch Politiek Keerpunt,Eerlijk.EU,Europa Transparant,Europa Voordelig! & Duurzaam,Europese Klokkenluiders Partij,EénNL,Forum voor Democratie,GeenPeil,GroenLinks,Hart voor Amersfoort,Heel NL,IQ-Partij,Islam Democraten,Jezus Leeft,Jouw Amersfoort,Leefbaar Amersfoort,Leefbaar Europa,Leefbaar Nederland,Leefbaar Provincie Utrecht,Liberaal Democratische Partij,Liberale Partij,Libertarische Partij,Libertas,Lijst 14,Lijst Lashkari,Lijst Pim Fortuyn,Lijst Ratelband,Lijst Özcan,MenS en Spirit / Basisinkomen Partij / V-R,Mooi Utrecht,Nederland Duurzaam,Nederland Lokaal,Nederland Transparant,Nederlandse Middenstands Partij,Newropeans,Niet Stemmers,Nieuw Nederland,Nieuw Rechts,Nieuwe Communistische Partij-NCPN,Nieuwe Wegen,OPA,Ondernemers Partij,Partij van de Arbeid,Partij van de Toekomst,Partij van het Noorden,Partij voor Europese Politiek,Partij voor Mens en Spirit,Partij voor Nederland,Partij voor de Dieren,Partij voor de Vrijheid,Partij één,Piratenpartij,Prov@i-b,Respect.Nu,Socialistische Partij,Soeverein Onafhankelijke Pioniers Nederland,Solidara,Staatkundig Gereformeerde Partij,StemNL,Trots op Nederland,Verenigde Senioren Partij,Vereniging LEF,Volkspartij voor Vrijheid en Democratie,VoorNederland,Vooruitstrevende Integratie Partij-Ouderen Unie,Vrede en Recht,Vrije Indische Partij-Ouderen Unie,Vrijzinnige Partij,dNU,cbs_gemeentecode,cbs_gemeente,verkiezing,cbs_wijkcode,stemburo,partij,aantal_stemmen
0307010000534046,,,13.0,,,49.0,,,,,,,6.0,47.0,77.0,66.0,,,15.0,,,,168.0,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,53.0,,,7.0,,,,,136.0,,,2.0,,,,GM0307,Amersfoort,GR2018,WK030704,Het Eemhuis,Actief,920
0307010000534181,,,,,0.0,,,,,,,,,117.0,86.5,46.5,,,,,0.0,,7.0,,,,,,,,,,31.0,,,,,,76.0,,,3.0,,,,,,,,7.0,0.0,,,,0.0,,,,,,,,2.0,,,,92.0,0.0,,,,,4.0,,,,,,24.5,,,1.0,,,,,101.5,,0.0,,,,,GM0307,Amersfoort,GR2006,WK030729,Vathorst College,Burger Partij Amersfoort,983
0307010000539877,3.4,0.0,0.0,0.0,0.0,3.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.2,58.3125,11.142857142857142,8.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,1.0,0.0,0.0,12.0,,,2.0,3.0,0.0,12.0,3.0,5.0,0.0,0.0,0.3333333333333333,6.0,18.0,0.0,0.5,1.0,0.0,0.0,0.0,,0.0,0.0,11.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,,0.0,20.0,0.0,0.6666666666666666,0.0,2.0,0.0,28.75,0.0,1.0,,5.0,0.0,4.5,12.142857142857142,10.0,5.0,1.0,0.0,12.625,0.0,,6.090909090909091,0.0,10.0,0.5,15.0,43.5625,0.0,0.0,2.0,1.0,0.0,1.0,GM0307,Amersfoort,EP2004,WK030705,Woon- en Zorgcentrum De Lichtenberg,Christen Democratisch Appél,3399
0307010000539995,20.6,0.0,17.0,,,128.0,43.0,4.0,0.0,8.0,5.0,25.0,2.0,102.66666666666667,137.0,152.25,173.0,,92.5,1.0,,0.0,211.33333333333334,,0.0,5.0,,,,,67.0,1.0,82.44444444444444,,5.0,1.0,,4.333333333333333,,,,,1.0,2.0,2.0,0.5,,,3.0,,,,0.0,1.0,,0.0,,,,0.0,2.0,,1.0,5.0,18.0,2.0,100.22222222222223,1.0,,,2.5,,36.833333333333336,117.66666666666667,6.0,8.25,8.0,,96.77777777777777,0.0,,18.333333333333332,0.0,6.0,,7.0,391.1111111111111,12.0,,12.0,,0.0,,GM0307,Amersfoort,EP2014,WK030728,Sporthal De Brink,50PLUS,12783
0307010000541913,14.25,0.0,,4.0,0.0,13.0,10.0,1.0,0.0,0.0,2.0,56.0,,68.25,110.0,74.5,64.5,0.0,179.0,0.0,0.0,0.0,55.84615384615385,0.0,1.0,1.0,43.0,,,8.0,18.0,0.0,70.14285714285714,23.0,5.0,0.0,11.0,1.6666666666666667,35.0,77.0,0.0,11.0,,0.0,0.0,0.5,,0.0,4.0,64.5,2.0,100.0,0.0,6.0,4.5,0.0,0.0,0.0,,0.0,2.0,3.0,3.6666666666666665,1.0,12.0,0.0,170.78571428571428,1.3333333333333333,0.0,,4.5,1.0,14.11111111111111,66.66666666666667,6.0,3.75,2.0,0.0,77.28571428571429,1.0,,13.444444444444445,0.0,13.5,2.5,7.0,79.0,6.0,0.0,,3.0,0.0,10.0,GM0307,Amersfoort,EP2004,WK030710,Schoolgebouw Axia Collega,Christen Democratisch Appél,10847
0307010000542002,10.8,1.0,13.0,,,40.5,22.0,1.0,1.0,2.0,5.0,8.0,7.0,81.33333333333333,72.22222222222223,57.375,40.0,,25.5,1.0,,8.0,195.33333333333334,,3.0,3.0,,,,,21.0,0.0,153.44444444444446,,5.0,0.0,,1.0,,,,,3.0,0.0,2.0,1.0,,,9.0,,,,1.0,1.0,,0.0,,,,0.0,2.0,,3.0,2.0,9.0,0.0,150.0,3.0,,,5.0,,41.666666666666664,52.0,6.0,9.25,1.0,,90.22222222222223,1.0,,7.0,0.0,11.5,,7.0,152.0,3.0,,5.0,,2.0,,GM0307,Amersfoort,EP2014,WK030701,Oude Stadhuis,50PLUS,9090
0307010000542070,10.666666666666666,0.0,,1.0,0.0,33.0,15.0,0.0,0.0,,3.0,5.0,,104.0,163.15384615384616,75.0909090909091,80.0,0.0,,,0.0,0.0,78.5,0.0,1.0,0.0,77.0,,,2.0,,,53.23076923076923,27.0,5.0,0.0,2.0,0.0,90.0,65.0,1.0,8.5,0.0,0.6666666666666666,,1.0,,0.0,3.0,62.5,0.0,5.0,,7.5,0.0,0.0,0.0,0.0,,,2.0,1.0,1.0,,16.0,,155.3846153846154,1.0,2.0,,2.5,0.0,15.25,64.6,6.0,6.333333333333333,,0.0,60.69230769230769,1.0,,5.5,,8.5,0.0,7.0,235.30769230769232,,0.0,,1.0,,4.0,GM0307,Amersfoort,EP2004,WK030724,Schoolgebouw De Wonderboom,Christen Democratisch Appél,12253
0307010000544408,13.5,,1.0,,,26.0,,,,1.0,,,0.0,24.0,49.333333333333336,44.0,,,13.0,0.0,,,82.33333333333333,,,,,,,,7.0,0.0,62.0,,,,,1.5,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,0.0,,3.0,34.333333333333336,,,,,,21.5,33.0,,0.0,2.0,,55.666666666666664,,,5.666666666666667,0.0,,,,85.33333333333333,3.0,,2.0,,0.0,,GM0307,Amersfoort,GR2018,WK030727,Meander Medisch Centrum,Actief,1490
0307010000545820,15.0,0.0,6.0,1.0,0.0,54.0,18.0,1.0,0.0,3.0,5.0,6.0,0.0,116.5,150.46153846153845,93.0,57.5,1.0,37.0,0.0,0.0,2.0,124.08333333333333,3.0,0.0,0.0,85.0,,,19.0,32.0,1.0,131.69230769230768,37.0,,0.0,0.0,2.0,128.0,59.0,0.0,10.5,,0.3333333333333333,0.0,0.5,,0.0,,67.5,2.0,10.0,0.0,33.0,0.0,0.0,1.0,0.0,,2.0,,3.0,4.0,3.0,16.0,4.0,204.30769230769232,1.0,0.0,,1.0,0.0,30.5,74.0,,5.333333333333333,3.0,0.0,129.69230769230768,2.0,,6.666666666666667,0.0,,2.5,,240.15384615384616,6.0,0.0,4.0,1.0,0.5,8.0,GM0307,Amersfoort,EP2004,WK030731,St. Pieters en Bloklands Gasthuis,Christen Democratisch Appél,15979
0307010000554308,13.0,0.0,,,,,,1.0,,,1.0,,,,66.0,,57.0,,,,,1.0,207.0,,,2.0,,,,,,,111.0,,,1.0,,4.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,41.0,52.0,,3.0,,,53.0,,,,,,,,94.0,,,,,,,GM0307,Amersfoort,EP2014,WK030717,PopUp stembureau ROC Midden-Nederland Kapelweg,50PLUS,764
